normalperson wj225|See: Batshua
vegan aerid|www.veganism.org for the animal rights FAQ and other goodies re: veganism.
testing Gambit-|"Testing, testing... I'm pleased to announce legislation outlawing the Soviet Union. The bombing begins in five minutes..."
succeed Gambit-|If at first you don't succeed keep on suckin' 'till y'DO suck seed.
bwa aerid|bwahahaahahahaahahahahahaahaahhahh bwaha bwah heeeeh whoooooooo bwahahahahh.
zhiv_rules aerid|<Zhivago> well, if its just an opinion, that's fine <--- see calc bwa
bar Gambit-|oof
c++_teacher aerid|if you have a c++ teacher that doesn't have a clue (likely) please refer them to frameman@hotmail.com, or provide me with their address. thank you, aerid.
release dhartmei|"What is this talk of 'release'? We do not make software 'releases'. Our software 'escapes', leaving a bloody trail of designers and quality assurance people in its wake."
linuxisnot MaineCoon|Linux: Linux Is Not UniX.
wazm_pointers Omnibus-|<Wazm> Pointers are like light saber. Really neat, but you can loose a leg pretty easily..
acronyms aerid|<aerid> well it seems i have to use DAO SDK API to create the MDB so i can make a DSN for ODBC DBMS SDK API so i can use SQL but DAO and ADO are also DBMS APIs but MS only supports the MFC stuff and now it looks like ADO API is the way to go really.
BGI aerid|<Allmighty> ne1 in here ever get error: bgi graphics not supported under windows?  how do i fix that...
compilers aerid|win32: msvc++ ($50-$90); dos: djgpp; linux: oh come on!
davis mEAt|"Win32 Network Programming", Ralph Davis, 1996, Addison-Wesley, ISBN 0-201-48930-9
how_to_abuse_mkcalc aerid|lessons on how to abuse mkcalc access are available from either undone or aerid. undone holds classes at around 5am, aerid holds them at about 7am. newcomers welcome!
thread_saftey_dance riscgrl|o/~ we can thread if we want to/ we can leaving blocking IO behind / but if your libs don't lock (and it seems they don't lock) then they're no libs of mine. we can block if we want to/ setjmp()? longjmp()? never mind! / and we can act like select() is all a bad dream / with a scheduler to hide behind o/~
autoannoy aerid|* Sauvin has a suggestion involving anatomically inappropriate insertion of a splintered wooden broom handle liberally splattered with Elmer's glue, stainless steel lathe chip, battery acid, crushed glass and salt.
palyndrome aerid|.satan oscillate my metallic sonatas.
palindrome Omnibus-|yes, this is the correct spelling, but iskie feels otherwise.  SEE palyndrome
we_like_to_help Omnibus-|<mEAt> Overbot: don't /msg me assbag, hold a sec
Sauvin aerid|<Sauvin> Access denied, bad hotmask or password.
linuxgeek aerid|* Wazm plays the imperial march, and loads up an animated dancing penguin.
NULL aerid|NULL is NULL.
phreaking OrngeTide|<phz`> Phreaking has taught me about sex, my future, and how to appreciate $4+/min
el3ctron aerid|<aerid> el3ctron, get a clue. <el3ctron> i dont have any
oXYmoron_ aerid|<oXYmoron_> turk182: In case you didn't notice I'm more or less just stirring up shit...
religion undone|"Religion is a crutch for those who cannot handle the unknown." - Heinlien
*? aerid|* is the derferencing opreator
oop_c aerid|equates roughly to mowing your lawn with fingernail clippers when you have a fully functional riding lawnmower with a full tank of gas.
radiation aerid|<aerid> computer radiation increases your life span, sex appeal and intellect.
Psion aerid|<Psion> I just want to be loved by goats.
not MaineCoon|"We are either doing something, or we are not. 'Talking about' is a subset of 'not'."
fountain MaineCoon|Some drink from the Fountain of Knowledge... Others just gargle.  And some pee in it.
purr MaineCoon|"All cats purr at 28hz."  I think your cats need tuning - according to a couple of quick measurements on a recently calibrated reference cat, the dominant frequency of a correctly adjusted cat should be 12Hz +/-20%.
bash_book riscgrl|Learning the bash Shell.  Cameron Newham & Bill Rosenblatt (published by o'reilly) ISBN: 1-56592-347-2 us $29.95 can $42.95
apache_book riscgrl|Apache: The Definitive Guide. Ben Laurie & Peter Laurie (published by o'reilly) ISBN: 1-56592-250-6. MUST HAVE for anyone administering apache.
apache_module_book riscgrl|Writing Apache Modules with Perl and C. Lincoln Stein & Doub MacEachern (published by o'reilly) ISBN: 1-56592-567-x. light on the C. heavy on the perl.
aim MaineCoon|We aim to please. Ourselves, mostly, but we do aim to please.
2038 MaineCoon|2038: The Year of the Overflow
1999 MaineCoon|1999: The Year of the Y2K Panic
1969 MaineCoon|1969: The Year of the UNIX
alta Setz|Ask altavista a question.  http://www.altavista.com
2000 MaineCoon|2000: The Year of the Y2K Lawsuit
hungry platypus|Do a good deed -- feed the hungry for free; just a mouse-click gets sponsors to pay for 1/4 cup of rice (no signups, no e-mail address checks...)  You can click up to once per day @ http://www.thehungersite.com/
capslock dhartmei|The Capslock key. The crayons of the internet.
hf MaineCoon|http://online.anu.edu.au/admin/secretary/ohs/alerts/hydrofac.html
c-style Wazm|A handbook for C-style: http://dogbert.comsc.ucok.edu/~mccann/cstyle.html
implementor Gambit-|The role of Implementor in a project unburdened by a requirement for architectural forethought is to link the designs of the Engineer to Euclidean space-time, execute them with sinister grace, and to deliver the finished project to the Engineer with concomitant documentation.
recursive_make_is_bad OrngeTide|Recursive Make Considered Harmful: http://www.canb.auug.org.au/~millerp/rmch/recu-make-cons-harm.html
stick riscgrl|you must be smarter than this stick to ride the internet---> |
ansi-c Xgc|ANSI C Drafts for Review can be found at http://www.dmk.com/ and ftp://ftp.dmk.com/DMK/sc22wg14/
long_long Setz|GCC's 'long long' == 18446744073709551615ish
nt-starwars undone|I sense much NT in you.  NT leads to bluescreen, bluescreen leads to downtime, downtime leads to suffering.  NT is the path to the darkside. Powerful Unix is.  -Unknown Unix Jedi.
pooh Setz|"Oh bother," said the Borg.  "We have assimilated Pooh."
SOL SNIBRIL|Shit, Outta Luck!
nt_haiku riscgrl|Windows NT crashed. / I am the Blue Screen of Death. / No one hears your screams.
win32cls mEAt| http://support.microsoft.com/support/kb/articles/q99/2/61.asp
unix-prog.faq Omnibus-|The UNIX Programming FAQ - http://www.erlenstar.demon.co.uk/unix/faq_toc.html
irc aerid|a really lousy protocal that some of you may be aware of.
lisp_study zhivago|http://www-aig.jpl.nasa.gov/public/home/gat/lisp-study.html
gregorian Wazm|Gregorian chants -- http://siul.rc.ipt.br/cantgreg/index_eng.htm  -- guranteed to reduce errors!
an CyrixBoy|In order to do that, you need to write a lexer, and lex your polynomials into tokens.  then parse the tokens into a parse tree.  Then run the parse tree, using a symbol table to keep track of variables.
calc_nazi Omnibus-|*** Teckla is the Calc Nazi.
bugfree Setz|People that really write bug free code: http://www.fastcompany.com/online/06/writestuff.html
ex CyrixBoy|please choose from the following: 1. My cd got scratched 2. A friend has/is borrowing it 3. I lost the software altogether 4. I am a kiddiepirate and stole it so there are no docs/ocx/dll or help file 5. I am lazy/think everything is like cut and paste: show me the way AND take me there (write the code for me)
DNA Perly|DNA: National Dyslexic Association
mozilla_development riscgrl|<shaver> what the FLYING BAT FROM HELL FUCK is that?
why_windows_breaks riscgrl|<shaver> because your OS sucks wet farts from dead pigeons?
engineers dhartmei|I know engineers. They love to change things. -- Dr. McCoy
laziness aerid|fortunately, laziness transcends boredum.
aerid aerid|#c's official resident psychopathic schizophrenic mkcalc abusing hermit and C++ zealot. * aerid makes passionate love to STL.
icbmX2 buttmunch|icbmX2
ralph aerid|mrs. hoover, my cat's breath smelles like cat food.
heh aerid|when someone says 'heh' over and over it generally means that they do not have a fucking clue what's going on and are trying to make friends or keep from offending anyone with their ignorance/idiocy.
d.*r.*g.*d platypus|echo `grep '^d.*r.*g.*d' /usr/dict/words`\nderegulated discharged discouraged disorganized disregard disregarded disregarding disregards diverged dragged dragonhead dragooned
bitch riscgrl|riscgrl!
strdel Teckla|char *strdel(char *str, int pos, int num) { char *dst; char *src; dst = str + pos; src = dst + num; memmove(dst, src, strlen(src) + 1); return str; }
zhivago_secret_life Omnibus-|<Zhivago> I'd just like to say that FF8 is very good
botfood undone|Please do not feed the bot.
microsoft Teckla|Microsoft: http://www.microsoft.com/
rebel aerid|<aerid> i open things on the side that says "open on other side." fight the man!
pico.editor Luke|Pico: A fence-sitter's editor.
proper riscgrl|naming of structures is important in a C program. take the following example: struct ipc_kludge tmp; </usr/src/linux/arch/i386/kernel/sys_i386.c>. now see how you know exactly what the author was thinking when she designed that structure?
proper_structure_names riscgrl|proper naming of structures is important in a C program. take the following example: struct ipc_kludge tmp; </usr/src/linux/arch/i386/kernel/sys_i386.c>. now see how you know exactly what the author was thinking when she designed that structure?
ircII-source Teckla|The source for ircII (and some other IRC clients) can be found at: ftp://cs-ftp.bu.edu/irc/clients/
!! Setz|For your extreme usage of '!' or '?' you will be charged $5 per extra '?' and '!'.  This will be made payable to Setzer either in the form of cash or broken bones.  Your choice.  Have a nice day.
murphy Gambit-|Bollays Law of Internet Latency: No matter how bad the latency is, it can always ge***NO CARRIER***
rfc.telnet nossenus|Telnet Protocol RFC 854,855
rfc.ftp nossenus|File Transfer Protocol RFC 959
rfc.smtp nossenus|Simple Mail Transfer Protocol RFC 821
rfc.pop3 nossenus|Post Office Protocol, Version 3 RFC 1939
rfc.ip nossenus|Internet Protocol RFC 791
rfc.tcp nossenus|Transmission Control Protocol RFC 793
rfc.udp nossenus|User Datagram Protocol RFC 768
rfc.icmp nossenus|Internet Control Message Protocol RFC 792
rfc.ldap nossenus|Lightweight Directory Access Protocol RFC 2251
rfc.http nossenus|Hypertext Transfer Protocol -- HTTP/1.1 RFC 2068
rfc.socks nossenus|SOCKS Protocol Version 5 RFC 1928
rfc.url nossenus|Uniform Resource Locators RFC 1738
rfc.nntp nossenus|Network News Transfer Protocol RFC 977
faq.objc nossenus|comp.lang.objective-c FAQ ftp://rtfm.mit.edu/pub/faqs/computer-lang/Objective-C/faq
howto.staticlib nossenus|a) make your object files: gcc -c -O3 foo.c b) archive them in a library: ar cr libzog.a foo.o bar.o baz.o c) create a TOC in the library: ranlib libzog.a
ref.unix nossenus|The Single UNIX Specification, Version 2 - http://www.opengroup.org/onlinepubs/7908799/index.html
ref.c nossenus|Archive with lots of c-related information - http://www.lysator.liu.se/c/
faq.java nossenus|The java programming language FAQ - http://www.afu.com/javafaq.html
nov14,99 Perly|1:44 am. Perly releases his first public kernel module.  All rejoice.
bad_physics_joke1 riscgrl|Two atoms are walking down the street and they run into each other.  One says to the other, "Are you all right?" "No, I lost an electron!" "Are you sure?" "Yeah, I'm positive."
bad_physics_joke2 riscgrl|A neutron goes into a bar and asks the bartender, "How much for a beer?" The bartender replies, "For you, no charge."
XOR Gambit-|XOR:  Exclusive OR:  1 ^ 0 == 1; 0 ^ 1 == 1; 0 ^ 0 == 0; 1 ^ 1 == 0;
indent Glammie|"In My Egotistical Opinion, most people's C programs should be indented six feet downward and covered with dirt." -- Blair P. Houghton
California venus|The following #C people live in California: OrngeTide, mEAt, Gambit, blueberry.
ur OrngeTide|ur: short for You Are, it helps ppl who don't understand the difference between You're and Your.
#C_love Gambit-|<riscborg> if there were anyone in here i'd be likely to go after(in a completely hypothetical never happen scenario) it'd be zhiv.. and thats about it. :P
mscode OrngeTide|<Perly> if you apply to microsoft, they'll re-teach you programming. like strcpy(myptr, anotherptr); as opposed to strncpy(), etc
banned Wazm|Hey stupid.. YOU'RE BANNED.
chars OrngeTide|<mEAt> chars are just itty bitty integers anyway
typedef zhivago|typedef declaration; makes  alias to the type of declaration with the name of the declaration. ie typedef int i32; or typedef void (*fun)(int, ...); alias to i32, and fun respectively.
tutorials Xgc|Newbie C Tutorial, http://www.swcp.com/~dodrill/cdoc/clist.htm www.strath.ac.uk/CC/Courses/NewCcourse/ccourse.html Network Sockets, http://www.ecst.csuchico.edu/~beej/guide/ More Tutorials, http://www.jarmaug.com/teach/TYT14FI.HTM More on sockets, http://www.gustavo.net/programming/c.shtml www.aul.fiu.edu/tech/visualc.html
moo DrgdHmstr|MOOOO!
botdesires undone|[03:05] <terr2> I wish Bjarne had bigger boobs
wrox-tutes OrngeTide|www.wrox.com - Programming Tutorials, downloadable books.
faq.cup nossenus|The comp.unix.programmer faq - http://www.whitefang.com/unix/faq_toc.html or http://www.erlenstar.demon.co.uk/unix/faq_toc.html
faq.rin nossenus|Raw IP Networking FAQ - http://www.whitefang.com/rin/
rfc.ntp nossenus|Network Time Protocol - RFC 1129, 1305
rfc.dns nossenus|Domain Name Server RFC 1032, 1033
belittle OrngeTide|"And don't belittle my people fatass!"
simpsons OGL|"take this object, but beware it carries a terrible curse" "thats bad" "but you get a free frogurt" "thats good" "the frogurt is also cursed" "thats bad" "but you get your choice of topping" "thats good" "the topping contains potassium benzoate" "..." "thats bad"
loseing_my_connection riscgrl|o/~ thats me on the console... thats me on the net work, loseing my connection.. trying to get a packet through.. and i dont know if i can do it.. oh no, i've sent too much.. o/~
job_security Omnibus-|http://mindprod.com/unmain.html
dogma Palisade|Dog is God spelled backwards... A thought that has kept scribes and scholars in awe for ages.
redmeat wawb|http://www.redmeat.com/redmeat/fresh.html
BCFH Perly|Bastard Coder From Hell (Copyright (C) Perly)
fbgetty Palisade|fbgetty is an extended getty program. It support extended tag set, escape codes. It refresh the display when the virtual terminal is activated. In the near future, it will display images with framebuffer.  -- http://www.multimania.com/lch/fbgetty/
RedHat Palisade|RedHat is a Linux distro whose target market is general users. -- http://www.redhat.com/
Mandrake Palisade|Mandrake is a Linux distro based off the current release of RedHat but optimized for intel and amd's advanced chipsets and with additional applications. Personally this distro vomited on my computer so I do not use it anymore. -- http://www.linux-mandrake.com/
SuSE Palisade|SuSE is a Linux distro originally based off Slackware and now has evolved into a very very comfortable distribution with many applications. Its best features are configurability, four CDs of applications, and SAX. SAX is a graphically (and usable) fantastic X windows configuration tool. -- http://www.suse.com/
Slackware Palisade|Slackware is a Linux distro designed to be sleek and very configurable. It accomplishes this by not bogging itself down with unncessary features. It is useful for server admins and for creating new distros. -- http://www.slackware.com/
boycott Palisade|Stop the Linux monopoly!! Buy Windows98!
Stormix Palisade|Stormix is a Linux distro that looks promising, it sports a developer solution that allows you to write for both text mode (ncurses) and graphical (X) without having to write two seperate programs. From what I hear the installation is dreadful. -- http://www.stormix.com/
Eris Palisade|May the chaos beneath thy feet divide and may thou fall into the arms of Eris.
insults Palisade|Insulting someone to win an argument is the lowest and most despicable thing one can do in a debate.
BOFH_lotus riscgrl|o/~ i was held.. my quake was doing well. the day my phone top rung.. i'm done.. i zigged and zagged when i should have run.. god damn.. its the man. he'll be dipped, and canned.. hey hey. hey hey.. my boss can cry like a big bad man.. so happy to show us.. my boss installed lotus.. without any notice.. my boss installed lotus.. at my terminal, i reflect, just last week i was wringing his neck. the system failed.. he was held.. he
what Palisade|Programming, what's that? Only eye doctors here...
ophthalmologist Palisade|see what
pali_sense Palisade|Suicide is silly... it is better to live to regret your mistakes than to die because you were afraid of the ones you might make.
heterophobia Palisade|Homosexuals are all heterophobes!! Haters! Bigots!
Openlinux Palisade|Caldera's Linux distro. -- http://www.calderasystems.com
VDKBuilder Palisade|OGL says to Borland(inprise), "<OGL> but they're gonna have a tough time competing with this"... VDKBuilder is a gtk builder for Linux/X. -- http://www.guest.net/homepages/mmotta/vdkbuilder/index.htm
immoral Palisade|Warez is bad, mmm'kay?
linux_screenshot_howto Palisade|you can do one of the following to take a screenshot of your X desktop: import -window root root.jpeg     xwd -root -out file.xwd     gimp, ksnapshot, and xv can all take screenshots
masturbation Palisade|Sex is for people with weak imaginations.
prices Palisade|Want help? Answers are a dollar. Answers which require thought are 5 dollars. Correct answers are 20 dollars. Dumb looks and newbie torment are always, always free.
insight Palisade|Insight is a GUI front-end to GDB, a debugger for gcc. -- http://sourceware.cygnus.com/insight/
easylinux Palisade|A trademark lawyer's nightmare.
linuxgames Palisade|Games Games Games!!! But not just any games!!!! Linux games!! Even penguins like to have fun! -- www.linuxgames.com/
lftp Palisade|lftp is a really keen ftp program for linux, multi-threaded, it lets you do multiple things at once, and if you quit the program during transfer, the transfer still completes, nice features. -- http://ftp.yars.free.net/pub/software/unix/net/ftp/client/lftp/lftp-2.0.3.tar.gz
pc Palisade|if everyone was a gay black female transsexual pedophile we wouldn't have a need for political correctness
palisade Palisade|HI!HI!HI!HIHI!IH
troll Palisade|Yakkity Yak, don't talk smack!
mesa3d Palisade|The Mesa opengl-like api for Linux and other platforms. -- http://www.mesa3d.org/
debian Palisade|debian sucks
linus_drunk Palisade|"If budweiser can have a frog to sell beer, why ask about the penguin?" --Linus
totalitarian Palisade|"A totalitarian regime crushes all autonomous institutions in its drive to seize the human soul." -- Arthur M. Schlesinger, Jr.
linus Palisade|Conan the Barbarian, starring, Linus Torvalds as Conan, Alan Cox, as the crazy wizard, and Bill Gates, as yet another evil sorcerer dude who likes snakes...
flying_circus Palisade|Help! Help! I'm being repressed!!!
anti-linux Palisade|Linux is a mean mutha foo', don' you go around messin' wit dat!
kwvdial Palisade|KWvDial is a ppp dialer for linux, you don't have to worry about Chat Scripts, Secrets files, or any of the other ugliness that has characterized Un*x Telecommunications since the beginning of time. KWvDial takes care of all that. And since it uses the WvDial intelligent dialler, you don't have to worry about how to connect to your ISP. It just does it. -- http://www.cnss.ca/~ppatters/KWvDial.html
anti-family Palisade|Anti-families consist of adults lowering their children. One example of this is, to some degree, putting them through a school as ridiculous as the one they went to when they were a child. And even then, realizing they will be bombarded with mindless activities to waste their mind until they are ready for the greatest lobotomy, college.
winnt Palisade|Windows: Neanderthal Technology edition
open_source2 Palisade|<s00shy> the inquisition has started! burn the free source coder!
problems Palisade|In 2000 opensource was prohibited by the U.S. government in effort to help proprietary vendors. They saw OSS as a threat to commercialism, and sought its destruction. That same year Mafias started focusing on providing users with the opensource apps that were now illegal. Open source and mafias now thrived. Years later, the prohibition was dropped, and OSS is now considered a "standard" solution. Freedom, yeah.
open_source3 Palisade|<PsychoOne> Open source must die. Its key advocates drawn and quartered. Its minions dispersed and its memories forever erased from history.
shortaclc Perly|Long calcs suck. Short calcs swallow.
software_rain Palisade|"In the Linux storm washing across the Internet landscape, each of us is a drop of rain. Only together, does our might become apparent." -- Matt Michie "Software from the sky"
conspiracy Palisade|<Palisade> the great thing about conspiracy theory is that it might not be a theory
linux-technology Palisade|Nice link site to visit that lists different uses for Linux and where to go. -- http://www.linux-embedded.com/lem_links.html
shortcalc nossenus|Short calcs are perferred.
aewm Palisade|aewm is the ascetic window manager, a minimalistic wm for X11. It has no nifty features, but is light on resources and extremely simple in appearance. It should eventually make a good reference implementation of the ICCCM. A few separate programs are included to do other session-management things that are usually controlled by the window manager. -- http://members.home.com/decklin/aewm/
homonims Palisade|<Teckla> Palisade: You might want to change your "insults" calc to say that insulting someone during a debate is called an "ad hominem" attack.
afterlife Palisade|There's always a light at the end of the tunnel. The real question is, who is it that's holding that light?!
LDDK Palisade|The Linux Driver Development Kit, The LDDK should help newbies or experienced programmers to write character device drivers without spending too much time learning all the linux kernel specials. -- http://www.llp.fu-berlin.de/pool/software/dutil/
linux_kernel_traffic Palisade|Great site for up to date information on what's going on with Linux kernel development. -- http://kt.linuxcare.com/
rope-a-dope Palisade|There is so much rope in C++ that you can hang your whole family and the dog with it. -- http://xcf.berkeley.edu/~ali/quotes.html
linuxapps Palisade|For linux applications that will titillate your inner child... -- www.freshmeat.net/  --  www.linuxapps.com/  --  www.linuxberg.com/  --  www.appwatch.com/  --  www.icewalk.com/
franklin Palisade|"Beer is proof that God loves us and wants us to be happy." -- Ben Franklin
trinux Palisade|Trinux, a mini-linux distro, pretty nifty. -- www.trinux.org/
pali_linux_screenshot Palisade|Site is temporarly down, email me if you can help me host it.. it's 7.6mb right now and i expect it to grow over time: chesterrr@att.net
pali_depressed Palisade|Suicide is inevitable for me, it's just a matter of when, where, and how. I'll place my bet on: tomorrow, in the laundry room, rattled to death by an angry washing machine.
hammie_welcome_mat Palisade|hello... welcome to #c... for tutorials, C code, and the source to wolfenstein 3d, quake 1, and unreal type: /msg drgdhmstr !files
eic Palisade|An embeddable/extensible interactive, pointer-safe, bytecode C interpreter/compiler. -- http://www.datagrid.com/~eic/  --  http://www.anarchos.com/eic/
khg Palisade|The Linux kernel hacking guide. -- http://khg.redhat.com/
cint Palisade|A C/C++ interpreter that can even interpret itself! 95% Ansi C compliant and 85% C++ compliant. -- http://root.cern.ch/root/Cint.html
linuxproductivity Palisade|For the utmost in unproductivity in linux, try these -- www.linuxgames.com/  --  www.happypenguin.org/  -- www.ga-source.com/linux
arbitrary Palisade|see ***LIST_TRUNCATED***
astroturf Palisade|When we refer to "grass roots" we mean something that is home brewn, fresh, imaginative, personal, down to earth, independant, and empowering to individuals everywhere. When referring to "astroturf" we regard a large face-less corporation that is trying to get a piece of the hype surrounding grass root projects. Fortunately, astroturf is easy to detect because it looks, sounds, and smells just like bullshit.
sex0rz Palisade|<OrngeTide> pali, everything has something to do with sex0r, you wouldn't even be here if there wasn't sex0ring going on:)
sourceforge Palisade|SourceForge is a free service to Open Source developers offering easy access to the best in CVS, mailing lists, bug tracking, message boards/forums, task management, site hosting, permanent file archival, full backups, and total web-based administration. -- www.sourceforge.net
linuxkernelbook Palisade|On-line 200 page Linux kernel book. -- http://metalab.unc.edu/linux/LDP/tlk/tlk.html
w2k_reboot Palisade|"Warning: You have moved the mouse, you need to reboot to save these settings. [ OK ] [ Cancel ]"
color OGL|<OGL> C is limited to 16 colors
free_crap_compiler OrngeTide|http://community.borland.com/museum .. fill out the forms and get a free copy of Turbo C 2.01 lite, among other old cheesy things.
tinyFUD Palisade|<OGL> if I may spread a little FUD here, using BSD makes me realize how unlucky Berkeley must have felt upon recieving AT&T's code, and how little they've done to improve it
div_by_zero aerid|division by zero from this day forth yields the value woodruff's constant. "<eric-w> it's unfortunate that computers so far can only aproximate it"
joke35 MaineCoon|A surgeon, a civil engineer and a software engineer were chatting at a bar. The discussion rolled around to whose profession was the oldest. The surgeon said that his was, since in the book of Genesis, God created Eve from one of Adam's ribs, and surly that involved surgery. (see joke35b)
joke35b MaineCoon|The civil engineer countered by saying that before God created man, he created the heavens and the Earth from chaos, surly a feat of civil engineering. The software engineer just smiled and said "Where do you think the chaos came from?"
info.socks nossenus|A network traversal protocol - http://spiderman.socks.nec.com/socksinfo.html
odp nossenus|Open Directory Project - yahoo like service - http://dmoz.org/
dmoz nossenus|Open Directory Project - yahoo like service - http://dmoz.org/
jobsecurity Palisade|"How To Write Unmaintainable Code" By Roedy Green -- http://mindprod.com/unmain.html
fade_oops Palisade|<fade_> oh fuck! a girl walked in here and i'm not sure if she could see my dick or not \ <fade_> she had no fucking right to walk in here without knocking! \ <fade_> i was all naked in front of the computer with a sheet across my lap
hammie_responds Palisade|<DrgdHmstr> fade_: You don't notice people entering while you're IRCing naked?
chaotic_instances Palisade|Neugierig genug, war die einzige Sache, die den Verstand der Sch ssel der Petunie durchlief, w hrend sie fiel, OH-Nr., nicht wieder.
fleuch Wazm|The greatest game ever!!!! http://homepages.tu-darmstadt.de/~meucho/index2.html (Linux, DOS, Amiga)
aerid_laptop aerid|ok, you can fuck with myname i guess sometimes, you can fuck with me, fuck with my server, fuck with my code, but DONT FUCK WITH MY LAPTOP
another_satisfied_customer DrgdHmstr|<eric-w> FUCK WINDOWS
madlib aerid|see adlib
DROMFP aerid|don't rain on my fucknig parade!
adlib Palisade|according to darklord, neither adlibs nor madlib exist
STLPort aerid|www.stlport.org -- a cross platform _working_ ANSI/ISO C++ compliaint STL.
wellhung Palisade|<OGL> Pali: I guess now you'll deny that you said you wanted to suck hitler's dick  <Palisade> actually... i hear hitler was pretty hung
undones_caffeine_rule undone|"caffeine".  If you're going to worship it, you're going to spell it correctly.
zhiv_celebration undone|<Zhivago:#c> I must celebrate by going shopping and buying frozen yoghurt and soap
proggedin OGL|if you think you will gain useful information by asking "what was such and such programmed in?", then you're an idiot
pacific_c megaton|a free msdos C compiler: http://www.htsoft.com/products/pacific.html
bestide gfoot|The best IDE in the world ever is bash.
CDD SaintN|Clue Deficit Disorder
Synapse Palisade|Synapse is a 3-D windowmanager for X/Linux, it's GPL'd. -- http://www.oreality.com/
die Wazm|If you're unhappy with yourself/life/word, then it just might be the time. Ending your life is a perfectly moral and ethical solution. http://members.tripod.com/~wazm/methods.txt
xenophobia Palisade|<Wazm> palisade: Which makes us vulnerable by attack from inter-planetary space tribes.
sunlight OGL|hazerdous radiation which makes monitor screens hard to read; avoid at all costs
gutenburg Omnibus-|http://promo.net/pg/
frink OGL|Well it should be obvious to even the most dim-witted individual who holds an advanced degree in hyperbolic topology...
purl Dmi|purl is, like, sentiment's buddy purl lives in #perl -- http://www.cs.cmu.edu/~infobot/ or mendel's new TCUN or a mean martian or a bot of few words or laggy these days
noppa Dmi|The bot that likes you
aerid_screenshot aerid|hanee.falsetto.com/screenshot -- yes, i was procrastinating at doing my work.
wazm_aus Perly|[09:33:43 PM] <Perly> then again, using my quotes i can prove that zhivago is a drug addict, a child molester, etc    [09:34:03 PM] <Wazm> perly: Culturally, such things are accepted in Australia.
cvsbook Palisade|Cyclic Software co-founder Karl Fogel's book, "Open Source Development with CVS", a large portion of the book covering the actual use of CVS is GPL'd and can be found online at their site. -- http://cvsbook.red-bean.com/
c_spread_lies aerid|"it isn't on my machine, and it shouldn't be on yours. In fact, the object code for the C++ version of the "hello world" program is smaller than the C version on my machine. There is no language reason why the one version should be larger than the other." - Stroustrup
sex_appeal aerid|C++, it's all about sex appeal.
speling gfoot|lern 2 spel.  you're cumpylor wunt undustant wot u meen iv u dunt spel corektlee, ant neethur wil wee.
paligeekcode Palisade|GCS/P/SS d? s: a20 C++++ ULB*++++ P+ L+++ E---- W+ w--- Y+ t+++ 5+++ b+ G+++ e* h!
acid riscgrl|I had a friend who took acid before an exam.. he tapped his papers on the desk to get the edges straight and the letters fell off.. he had to spend the rest of the exam sticking them back on.
fade__ nossenus|<fade__> i mated with a horse :)
heather Dmi|Tall, beautiful black girl that can sit in a miniskirt and discuss philosophy, executing both in confidence and style.
DrgdHmstr DrgdHmstr|Lovable, huggable Little Hammie Dude(tm)! Official pronounciation is "Deranged Hamster". If anyone tells you different, hurt them and make them cry.
we_hate_leeches DrgdHmstr|<blueberry> i hate when people come to #C and basically say "I want <insert something amazingly important or kewl here> but I don't want to pay anything, put any effort into getting it, or have to lift even a finger. I want it to fall into my lap. Please help me!"
duff Myrdraal|Get off your duff!
duff's_device gfoot|y = x >> 2; switch (x & 3) do { something(); case 3: something(); case 2: something(); case 1: something(); } while (y--);
TANSTAFS gfoot|There ain't no such thing as free sex (you get what you pay for)
#Crules MaskNMI|No text attributes (eg, bold, underline, color, etc); No all caps or mixed caps strings; No excessive punctuation; No excessive l33t-speak or l33t-speak-like abbreviations; No solicitation, except by regulars; No verbose auto-aways; No flooding; No auto-rejoin; No being lame; No bickering (debating intelligently is acceptable and encouraged).
atoi Teckla|To convert from char* to int, use atoi: char buf[]="123"; int i; i=atoi(buf); printf("%d\n",i);
ltoa chorgain|char * ltoa(long x) {char * str = "0123456789"; long rem; static char buf[64];char *ptr = buf + 63; char neg = 0;if( x < 0 ) {neg = 1;x = abs(x);}do {ptr--;rem = x % 10; *ptr = *(str + rem); x /=10; } while( x ); if(neg)*--ptr = '-';return ptr;}
mensa Iskander|Mensa International, http://www.mensa.org
black_hole Iskander|what happened when God divided by 0
dos-fun Iskander|To have fun in DOS: echo "#include <stdio.h> int main () { memset ((void *) 0x00000000, 0xFFFFFFFF, 0xFFFFFFFF); return 0; }" > fun.c
libertarian_test Iskander|Libertarians tell us that "Everyone should be free to do as they choose, so long as they don't infringe upon the equal freedom of others," yet they fail to define "equal freedom".
quicksort Iskander|a useful tutorial on quicksorting can be found at http://ciips.ee.uwa.edu.au/~morris/Year2/PLDS210/qsort.html
data_algo_course Iskander|a useful course in data structures and algorithms can be found at http://ciips.ee.uwa.edu.au/~morris/Year2/PLDS210/
socket_error Iskander|If a packet hits a pocket on a socket on a port, And the bus is interrupted as a very last resort, And the address of the memory makes your floppy disk abort, Then the socket packet pocket has an error to report!
kcin_man Iskander| <kcin> blueberry: Isk made semene. <kcin> smene. <kcin> semen
2+2 Iskander|bc sais: 5, for large values of 2
